Date,Open,High,Low,Close,Adj Close,Volume
2019-09-16,155.360001,156.679993,152.899994,153.479996,134.417053,58826500
2019-09-17,152.759995,153.289001,149.059998,149.199997,130.668671,77556704
2019-09-18,150.000000,150.238998,148.000000,148.000000,129.617706,46776416
2019-09-19,148.399994,150.479996,147.679993,150.479996,131.789673,27138898
2019-09-20,151.000000,153.139999,150.279999,151.539993,132.718033,81170079
2019-09-23,150.600006,151.160004,147.279999,149.259995,130.721222,21093444
2019-09-24,149.000000,150.020004,146.699005,147.039993,128.776917,28001800
2019-09-25,145.779999,148.119995,144.380005,148.119995,129.722794,45278202
2019-09-26,147.679993,149.740005,147.419998,149.139999,130.616135,36969316
2019-09-27,149.539993,151.240005,148.899994,150.919998,132.175034,28929397
2019-09-30,151.139999,151.979996,150.039993,150.399994,131.719604,27681120
2019-10-01,150.279999,152.000000,149.600006,149.639999,131.054001,34175644
2019-10-02,149.259995,149.259995,144.320007,144.320007,126.394768,38770652
2019-10-03,143.460007,143.839996,139.960007,142.059998,124.415489,31833504
2019-10-04,142.860001,143.100006,140.699997,142.940002,125.186203,23361466
2019-10-07,142.979996,144.339996,141.179993,144.339996,126.412292,26154335
2019-10-08,146.080002,146.080002,142.800003,143.940002,126.061981,38081192
2019-10-09,143.660004,145.759995,143.000000,145.000000,126.990318,98990874
2019-10-10,144.460007,149.600006,144.460007,149.199997,130.668671,50756258
2019-10-11,149.960007,160.684998,149.541000,160.479996,140.547607,123587863
2019-10-14,158.000000,160.684998,149.541000,157.600006,138.025345,42147458
2019-10-15,159.179993,167.779999,156.781998,164.039993,143.665451,112820443
2019-10-16,165.600006,166.080002,159.820007,164.259995,143.858124,90129526
2019-10-17,162.759995,170.380005,161.220993,164.000000,143.630432,106525171
2019-10-18,162.979996,167.820007,162.059998,165.000000,144.506226,69390679
2019-10-21,165.919998,167.919998,165.320007,165.619995,145.049194,48873819
2019-10-22,165.259995,166.828995,164.500000,165.300003,144.768982,86428355
2019-10-23,163.660004,169.940002,162.639999,165.779999,145.189346,33461611
2019-10-24,165.779999,167.259995,164.979996,166.399994,145.732330,41665835
2019-10-25,167.500000,171.580002,167.162994,170.360001,149.200485,56669699
2019-10-28,170.100006,171.509995,167.162994,170.500000,149.323105,39259001
2019-10-29,170.500000,171.720001,167.360001,171.720001,150.391571,52268451
2019-10-30,171.759995,172.220001,166.679993,168.419998,147.501450,39146621
2019-10-31,167.639999,168.610992,165.998993,167.800003,146.958481,72593355
2019-11-01,167.399994,167.399994,164.720001,167.179993,146.415482,57642346
2019-11-04,167.000000,169.179993,166.740005,168.139999,147.256226,42592916
2019-11-05,170.000000,170.259995,167.919998,169.160004,148.149536,28883746
2019-11-06,168.979996,170.199997,166.919998,168.320007,147.413895,33001550
2019-11-07,168.279999,170.600006,167.919998,170.039993,148.920242,39115024
2019-11-08,169.699997,169.699997,166.440002,166.440002,145.767380,32194960
2019-11-11,165.539993,172.039993,164.001007,171.639999,150.321518,56510091
2019-11-12,172.000000,172.759995,169.820007,172.759995,151.302368,51856991
2019-11-13,170.740005,171.080994,168.839996,170.880005,149.655899,23291755
2019-11-14,170.479996,173.300003,169.360001,170.100006,148.972778,37107435
2019-11-15,171.399994,172.279999,168.500000,170.740005,149.533310,26795954
2019-11-18,171.259995,173.386002,170.020004,170.320007,149.165466,31399697
2019-11-19,171.320007,173.399994,169.679993,170.419998,149.253036,25796847
2019-11-20,169.160004,169.419998,167.259995,169.199997,148.184570,43279995
2019-11-21,167.399994,168.440002,165.919998,168.179993,147.291245,26167704
2019-11-22,168.000000,170.160004,167.020004,169.259995,148.237122,24545024
2019-11-25,170.559998,172.520004,168.699997,172.000000,150.636810,29112403
2019-11-26,172.160004,174.020004,170.860001,171.740005,150.409088,42582224
2019-11-27,172.860001,175.046997,171.619995,174.419998,152.756226,35393262
2019-11-28,175.800003,176.190002,173.759995,174.220001,152.581055,30474291
2019-11-29,174.139999,174.220001,171.419998,171.539993,150.233932,28532134
2019-12-02,171.500000,172.279999,169.039993,169.179993,148.167023,47771495
2019-12-03,169.000000,170.479996,164.600006,166.339996,145.679810,45455357
2019-12-04,165.000000,169.160004,164.940002,167.160004,146.397949,29835743
2019-12-05,166.860001,168.679993,165.539993,167.160004,146.397949,49974529
2019-12-06,168.220001,170.220001,167.500000,169.399994,148.359711,20971015
2019-12-09,169.500000,172.100006,169.059998,171.679993,150.356537,36216265
2019-12-10,171.679993,171.679993,167.160004,170.139999,149.007828,51972517
2019-12-11,169.500000,170.520004,168.179993,168.679993,147.729172,56576014
2019-12-12,170.000000,172.720001,169.619995,171.860001,150.514206,44604235
2019-12-13,185.000000,187.679993,170.740005,182.479996,159.815109,183046871
2019-12-16,183.779999,192.990005,183.320007,192.460007,168.555588,109295227
2019-12-17,189.839996,191.740005,185.360001,187.360001,164.089020,52622212
2019-12-18,185.199997,187.279999,184.460007,185.119995,162.127228,41111821
2019-12-19,185.679993,185.710007,182.119995,183.380005,160.603333,44095125
2019-12-20,183.320007,183.723007,178.348999,178.419998,156.259399,90725761
2019-12-23,177.880005,180.649994,177.240005,179.460007,157.170227,87793327
2019-12-24,180.000000,180.559998,179.380005,180.000000,157.643158,26428457
2019-12-27,182.240005,182.350006,179.360001,181.500000,158.956848,18054510
2019-12-30,181.360001,182.160004,180.139999,180.240005,157.853363,36499610
2019-12-31,178.360001,180.380005,177.500000,179.639999,157.327850,13247081
2020-01-02,180.080002,186.199997,179.259995,185.199997,162.197281,34370855
2020-01-03,184.160004,184.949997,181.300003,183.300003,160.533295,27868540
2020-01-06,181.919998,182.429993,178.639999,180.979996,158.501450,26746306
2020-01-07,180.559998,183.449997,175.000000,183.139999,160.393143,25508436
2020-01-08,181.119995,183.039993,180.220001,182.039993,159.429764,28272528
2020-01-09,184.220001,184.800003,181.869995,182.860001,160.147919,26927681
2020-01-10,182.139999,182.589996,180.399994,181.000000,158.518951,18841487
2020-01-13,181.199997,182.589996,179.759995,181.679993,159.114487,29073687
2020-01-14,181.880005,182.100006,179.199997,181.000000,158.518951,29601850
2020-01-15,180.800003,181.707993,177.520004,178.500000,156.329483,48507487
2020-01-16,178.000000,179.039993,174.440002,176.800003,154.840607,40833263
2020-01-17,178.020004,178.520004,175.000000,175.240005,153.474380,39232128
2020-01-20,175.639999,175.990005,174.710007,175.000000,153.264175,40252357
2020-01-21,173.199997,175.240005,172.500000,174.399994,152.738678,41543663
2020-01-22,175.360001,175.875000,173.697998,174.759995,153.053986,37906829
2020-01-23,174.919998,175.630005,171.059998,171.500000,150.198929,36096342
2020-01-24,173.520004,175.990005,173.380005,173.440002,151.897949,30346248
2020-01-27,172.000000,172.419998,169.720001,170.679993,149.480743,22028619
2020-01-28,171.000000,172.320007,169.199997,172.020004,150.654312,23574278
2020-01-29,173.199997,173.600006,171.000000,172.020004,150.654312,24723987
2020-01-30,169.839996,172.000000,169.279999,171.500000,150.198929,31571302
2020-01-31,172.679993,172.899994,167.839996,168.000000,147.133606,30957886
2020-02-03,168.759995,171.059998,168.139999,169.679993,148.604935,20908923
2020-02-04,171.460007,172.839996,170.061996,172.000000,150.636810,25943981
2020-02-05,171.479996,173.539993,170.639999,172.960007,151.477554,45799552
2020-02-06,175.399994,177.960007,174.975006,176.720001,154.770538,44900146
2020-02-07,176.160004,177.160004,174.440002,177.160004,155.155899,28415827
2020-02-10,175.720001,178.460007,175.619995,176.899994,154.928207,24270086
2020-02-11,179.179993,179.919998,177.580002,179.020004,156.784882,53077341
2020-02-12,179.660004,181.300003,174.479996,179.339996,157.065125,37065004
2020-02-13,173.039993,181.000000,172.500000,176.320007,154.420227,66320954
2020-02-14,176.160004,177.360001,174.100006,175.919998,154.069916,45491839
2020-02-17,176.419998,179.580002,175.919998,177.699997,155.628845,44760510
2020-02-18,176.000000,180.320007,174.860001,175.080002,153.334259,37375227
2020-02-19,175.679993,178.139999,175.559998,176.740005,154.788071,23823522
2020-02-20,177.479996,184.000000,176.759995,181.320007,158.799225,61331728
2020-02-21,180.339996,181.979996,177.979996,179.619995,157.310349,55407380
2020-02-24,174.179993,174.639999,168.240005,170.020004,148.902710,110455869
2020-02-25,171.199997,171.919998,165.460007,165.860001,145.259415,58799289
2020-02-26,165.800003,166.580002,161.919998,165.940002,145.329468,79663724
2020-02-27,157.839996,163.800003,151.380005,154.440002,135.257828,86684922
2020-02-28,150.419998,153.800003,146.600006,148.740005,130.265808,135279400
2020-03-02,152.179993,152.360001,141.020004,143.300003,125.501480,121644563
2020-03-03,146.559998,147.080002,139.259995,139.559998,122.226006,127613836
2020-03-04,140.320007,141.539993,137.419998,138.539993,121.332672,111314954
2020-03-05,138.820007,139.759995,134.018005,134.679993,117.952095,89049029
2020-03-06,132.300003,134.220001,129.339996,130.940002,114.676643,75493609
2020-03-09,123.300003,124.639999,117.139999,118.099998,103.431435,145382066
2020-03-10,120.199997,125.660004,115.779999,116.839996,102.327919,93758905
2020-03-11,118.059998,121.820000,115.900002,117.940002,103.291313,103760553
2020-03-12,110.000000,111.844002,97.000000,97.519997,85.407562,180121998
2020-03-13,105.000000,111.019997,96.639999,102.379997,89.663925,154975322
2020-03-16,96.059998,96.690002,83.040001,89.059998,77.998337,137258666
2020-03-17,92.699997,94.827003,80.709999,87.760002,76.859795,135397275
2020-03-18,83.790001,85.501999,80.320000,83.199997,72.866165,122678276
2020-03-19,83.300003,83.970001,73.040001,83.739998,73.339104,181813611
2020-03-20,90.000000,91.239998,83.980003,89.019997,77.963303,234374785
2020-03-23,80.000000,88.739998,79.269997,84.699997,74.179855,88162933
2020-03-24,88.870003,96.019997,86.690002,96.019997,84.093864,93840271
2020-03-25,99.559998,115.796997,97.269997,105.779999,92.641624,117817465
2020-03-26,101.040001,107.980003,97.000000,107.980003,94.568390,93679670
2020-03-27,103.040001,104.556999,95.349998,97.370003,85.276184,91655178
2020-03-30,96.070000,104.556999,89.010002,94.000000,82.324768,68438334
2020-03-31,94.059998,104.556999,89.774002,94.110001,82.421097,115570307
2020-04-01,87.000000,90.470001,82.860001,82.860001,72.568398,128275526
2020-04-02,83.099998,86.919998,80.910004,81.620003,71.482414,135087059
2020-04-03,81.660004,83.309998,80.000000,80.239998,70.273804,94613738
2020-04-06,83.000000,87.525002,82.683998,86.559998,75.808846,92998962
2020-04-07,90.000000,100.279999,89.561996,94.790001,83.016632,116393334
2020-04-08,92.639999,94.514999,90.307999,92.650002,81.142441,83803942
2020-04-09,94.459999,98.989998,92.925003,97.580002,85.460106,99457766
2020-04-14,97.989998,99.900002,93.139999,93.550003,81.930656,65998085
2020-04-15,92.830002,93.474998,87.000000,87.000000,76.194199,215800815
2020-04-16,87.809998,91.019997,85.464996,87.080002,76.264259,85796816
2020-04-17,91.169998,92.900002,89.050003,90.709999,79.443398,75365406
2020-04-20,91.500000,92.190002,88.889999,91.010002,79.706131,47458721
2020-04-21,88.750000,89.720001,86.440002,86.510002,75.765053,71559831
2020-04-22,87.419998,88.019997,85.160004,87.699997,76.807251,114702624
2020-04-23,88.000000,91.820000,87.410004,90.599998,79.347061,122176124
2020-04-24,89.199997,90.800003,87.540001,88.610001,77.604225,44627087
2020-04-27,91.980003,91.980003,88.839996,91.059998,79.749916,49340336
2020-04-28,91.279999,99.239998,91.180000,97.760002,85.617744,89985993
2020-04-29,99.000000,112.730003,97.800003,110.180000,96.495125,165145769
2020-04-30,112.000000,114.620003,105.379997,105.900002,92.746727,141310957
2020-05-01,103.000000,104.980003,101.748001,102.739998,89.979210,48948301
2020-05-04,99.500000,102.000000,98.699997,99.680000,87.299286,60557969
2020-05-05,102.000000,104.440002,100.239998,103.400002,90.557243,55451254
